symbol,direction,quantity,entryPrice,exitPrice,entryDate,exitDate,stopPrice,targetPrice,fees,strategy,tags,mistakes,rating,notes,account,netPnl,grossPnl,returnPct,rMultiple,outcome,holdingHours
XAUUSD,short,1,4357.66,4354.06,2026-09-18 17:06,2026-09-18 17:06,,,0,,0.01 lot,,,,MT5 XAUUSD,3.60,3.60,0.083,,win,0.00
XAUUSD,short,1,4363.7,4353.97,2026-09-18 17:06,2026-09-18 17:06,,,0,,0.01 lot,,,,MT5 XAUUSD,9.73,9.73,0.223,,win,0.00
XAUUSD,short,1,4369.53,4354.03,2026-09-18 17:06,2026-09-18 17:06,,,0,,0.01 lot,,,,MT5 XAUUSD,15.50,15.50,0.355,,win,0.00
XAUUSD,short,1,4372.1,4354.3,2026-09-18 17:44,2026-09-18 17:44,,,0,,0.01 lot,,,,MT5 XAUUSD,17.80,17.80,0.407,,win,0.00
XAUUSD,short,1,4371.81,4354.3,2026-09-18 17:44,2026-09-18 17:44,,,0,,0.01 lot,,,,MT5 XAUUSD,17.51,17.51,0.401,,win,0.00
XAUUSD,long,1,4307.34,4307.58,2026-09-22 11:14,2026-09-22 11:14,,,0,,0.01 lot,,,,MT5 XAUUSD,0.24,0.24,0.006,,win,0.00
XAUUSD,long,1,4303.23,4303.45,2026-09-22 11:14,2026-09-22 11:14,,,0,,0.01 lot,,,,MT5 XAUUSD,0.22,0.22,0.005,,win,0.00
XAUUSD,long,1,4300.43,4300.65,2026-09-22 11:17,2026-09-22 11:17,,,0,,0.01 lot,,,,MT5 XAUUSD,0.22,0.22,0.005,,win,0.00
XAUUSD,short,1,4338.87,4349,2026-09-22 20:53,2026-09-22 20:53,,,0,,0.01 lot,,,,MT5 XAUUSD,-10.13,-10.13,-0.233,,loss,0.00
XAUUSD,short,1,4367.23,4322.14,2026-09-23 10:30,2026-09-23 10:30,,,0,,0.01 lot,,,,MT5 XAUUSD,45.09,45.09,1.032,,win,0.00
XAUUSD,short,1,4345.22,4320,2026-09-23 11:28,2026-09-23 11:28,,,0,,0.01 lot,,,,MT5 XAUUSD,25.22,25.22,0.580,,win,0.00
XAUUSD,short,1,4342.41,4319.64,2026-09-23 11:28,2026-09-23 11:28,,,0,,0.01 lot,,,,MT5 XAUUSD,22.77,22.77,0.524,,win,0.00
XAUUSD,short,1,4363.98,4294.81,2026-09-23 21:01,2026-09-23 21:01,,,0,,0.01 lot,,,,MT5 XAUUSD,69.17,69.17,1.585,,win,0.00
XAUUSD,short,1,4350.39,4294.96,2026-09-23 21:02,2026-09-23 21:02,,,0,,0.01 lot,,,,MT5 XAUUSD,55.43,55.43,1.274,,win,0.00
XAUUSD,long,1,4276.56,4276.79,2026-09-24 10:59,2026-09-24 10:59,,,0,,0.01 lot,,,,MT5 XAUUSD,0.23,0.23,0.005,,win,0.00
XAUUSD,short,1,4269.85,4269.52,2026-09-24 11:31,2026-09-24 11:31,,,0,,0.01 lot,,,,MT5 XAUUSD,0.33,0.33,0.008,,win,0.00
XAUUSD,long,1,4268.24,4265.13,2026-09-24 12:02,2026-09-24 12:02,,,0,,0.01 lot,,,,MT5 XAUUSD,-3.11,-3.11,-0.073,,loss,0.00
XAUUSD,long,5,4261.35,4261.53,2026-09-24 12:03,2026-09-24 12:03,,,0,,0.05 lot,,,,MT5 XAUUSD,0.90,0.90,0.004,,win,0.00
XAUUSD,long,5,4261.14,4261.26,2026-09-24 12:19,2026-09-24 12:19,,,0,,0.05 lot,,,,MT5 XAUUSD,0.60,0.60,0.003,,win,0.00
XAUUSD,long,2,4262.58,4252.28,2026-09-24 12:43,2026-09-24 12:43,,,0,,0.02 lot,,,,MT5 XAUUSD,-20.60,-20.60,-0.242,,loss,0.00
XAUUSD,long,2,4256.85,4252.19,2026-09-24 12:43,2026-09-24 12:43,,,0,,0.02 lot,,,,MT5 XAUUSD,-9.32,-9.32,-0.109,,loss,0.00
XAUUSD,long,2,4255.22,4252.28,2026-09-24 12:43,2026-09-24 12:43,,,0,,0.02 lot,,,,MT5 XAUUSD,-5.88,-5.88,-0.069,,loss,0.00
XAUUSD,long,5,4254.25,4252.31,2026-09-24 12:43,2026-09-24 12:43,,,0,,0.05 lot,,,,MT5 XAUUSD,-9.70,-9.70,-0.046,,loss,0.00
XAUUSD,long,5,4253.26,4252.37,2026-09-24 12:43,2026-09-24 12:43,,,0,,0.05 lot,,,,MT5 XAUUSD,-4.45,-4.45,-0.021,,loss,0.00
XAUUSD,long,5,4252.1,4263.448,2026-09-24 17:58,2026-09-24 17:58,,,0,,0.05 lot,,,,MT5 XAUUSD,56.74,56.74,0.267,,win,0.00
